applicant_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
1,Male,No,2,Not Graduate,No,6669,2155,376,300,1,Urban,Approved
2,Male,Yes,2,Not Graduate,No,7053,3134,57,300,0,Urban,Rejected
3,Male,No,2,Graduate,No,13916,6984,237,120,1,Semiurban,Approved
4,Male,No,0,Graduate,No,9341,982,165,180,1,Urban,Approved
5,Male,Yes,0,Graduate,No,7727,2368,400,360,1,Rural,Approved
6,Female,Yes,3,Graduate,No,9753,2704,232,240,0,Urban,Approved
7,Female,No,1,Graduate,No,5617,821,249,360,1,Rural,Approved
8,Female,No,2,Not Graduate,Yes,9628,7844,194,120,1,Urban,Approved
9,Female,Yes,2,Graduate,Yes,9831,1352,325,240,0,Semiurban,Rejected
10,Female,Yes,3,Graduate,Yes,11601,2282,241,360,0,Urban,Rejected
11,Female,Yes,3,Not Graduate,No,12573,5793,246,120,0,Rural,Rejected
12,Female,No,0,Graduate,Yes,2433,7715,439,180,0,Rural,Rejected
13,Female,No,0,Graduate,Yes,10505,7306,441,180,1,Urban,Approved
14,Male,No,0,Not Graduate,No,12938,8156,401,180,0,Urban,Approved
15,Female,Yes,2,Not Graduate,No,12918,7405,354,240,0,Urban,Approved
16,Male,Yes,3,Graduate,Yes,9089,8730,461,300,0,Rural,Rejected
17,Female,No,0,Not Graduate,No,4465,8641,146,120,0,Rural,Approved
18,Female,Yes,1,Graduate,No,4957,5086,127,300,0,Rural,Rejected
19,Male,Yes,2,Graduate,Yes,11771,5039,424,360,0,Urban,Approved
20,Female,Yes,3,Not Graduate,No,11226,4350,404,300,1,Semiurban,Approved
21,Male,Yes,0,Not Graduate,No,6489,4830,138,300,0,Rural,Rejected
22,Female,Yes,3,Not Graduate,No,2483,7103,317,360,1,Urban,Approved
23,Male,Yes,3,Graduate,No,7480,4287,129,180,0,Rural,Rejected
24,Male,No,1,Not Graduate,Yes,9454,6464,224,300,1,Urban,Approved
25,Male,No,2,Graduate,No,6899,9094,288,360,1,Semiurban,Approved
26,Male,Yes,1,Not Graduate,No,13510,6840,138,300,1,Semiurban,Approved
27,Female,No,2,Graduate,Yes,8310,8247,420,180,1,Urban,Approved
28,Male,Yes,1,Not Graduate,Yes,10426,3973,396,120,0,Semiurban,Rejected
29,Female,Yes,0,Not Graduate,No,6066,403,193,120,0,Urban,Approved
30,Male,Yes,2,Not Graduate,Yes,5636,9394,400,180,0,Rural,Approved
31,Male,Yes,1,Not Graduate,Yes,5214,313,414,120,1,Urban,Approved
32,Male,Yes,3,Not Graduate,No,7153,8941,432,360,1,Rural,Approved
33,Female,No,2,Graduate,No,4658,5627,363,300,0,Semiurban,Approved
34,Male,Yes,1,Not Graduate,Yes,12459,9515,324,240,1,Rural,Approved
35,Male,Yes,2,Graduate,Yes,13027,8430,378,120,0,Rural,Rejected
36,Female,No,1,Graduate,No,2568,5176,157,120,0,Urban,Approved
37,Female,No,1,Graduate,No,11611,1861,442,120,1,Semiurban,Approved
38,Female,Yes,0,Not Graduate,Yes,11082,3779,113,180,0,Urban,Rejected
39,Female,No,0,Not Graduate,Yes,8239,846,283,240,1,Semiurban,Approved
40,Female,Yes,2,Graduate,No,10490,2403,415,120,0,Urban,Rejected
41,Female,No,0,Graduate,No,14287,9808,370,300,1,Rural,Approved
42,Female,No,2,Graduate,No,1965,2489,450,300,1,Urban,Rejected
43,Female,Yes,1,Not Graduate,Yes,10434,3238,381,180,0,Urban,Rejected
44,Male,Yes,3,Graduate,Yes,11608,8937,414,360,1,Semiurban,Approved
45,Female,Yes,1,Not Graduate,No,7977,1266,317,240,0,Rural,Approved
46,Female,Yes,2,Not Graduate,Yes,10992,7707,379,240,1,Semiurban,Approved
47,Female,No,3,Not Graduate,Yes,7079,6146,84,240,0,Urban,Rejected
